Gestore;Tipo Impianto;Indirizzo;Potenza (W)
3lettronica Industriale S.p.A;Televisione;Via  SILVA, 36;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PIRELLI, 39;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PALATUCCI,;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PARRI,;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  MONTE ROSA, 89;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  ANASSAGORA, 11;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PEDRONI, 40;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  RIZZARDI, 75;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  MARIGNANO, 51;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Altro;Località  PARCHEGGIO ATM ;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PIRELLI, 39;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  MONTE ROSA, 89;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Altro;Via  PALATUCCI,;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  CILEA / RIZZARDI,;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  LARGA, 12;> 20 e <= 300
A2A S.p.A.;Altro;Via  AMARI, 6;> 7 e <= 20
A2A S.p.A.;Altro;Via  PIANELLA, 10;> 7 e <= 20
A2A S.p.A.;Altro;Via  PONTE NUOVO, 100;> 7 e <= 20
A2A S.p.A.;Altro;Corso  DI PORTA VITTORIA, 4;> 7 e <= 20
A2A S.p.A.;Altro;Piazza  TRENTO, 13;> 7 e <= 20
Assoc. Culturale RADIO ONDA D'URTO;Radiofonia;Via  SAPONARO, 32;> 1000
Assoc. Culturale RADIO ONDA D'URTO;Ponte;Via  LEONCAVALLO, 14;<= 7
Assoc. RADIO MARIA;Radiofonia;Via  SAN GALDINO, 5;> 1000
Assoc. RADIO MARIA;Ponte;Via  SAN GALDINO, 5;<= 7
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  FARA, 41;> 20 e <= 300
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  FARA, 41;> 20 e <= 300
CENTRO DI PRODUZIONE S.p.A.;Ponte;Sito  ORTOMERCATO,;<= 7
CENTRO DI PRODUZIONE S.p.A.;Ponte;Sito  ORTOMERCATO,;<= 7
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  POPOLI UNITI, 14;> 7 e <= 20
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  POPOLI UNITI, 14;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  CORDUSIO - VIA BROLETTO;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  CORDUSIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  VELASCA, 5;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Foro  BONAPARTE,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VENEZIA, 46;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Zubiani Ausonio,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  SAN GOTTARDO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  FIORI CHIARI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PONTE VETERO,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  BUENOS AIRES,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VERCELLI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  SIENA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TORINO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TORINO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PELLEGRINO ROSSI,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  SETTEMBRINI,;<= 7
CommsCon Italia S.r.l.;Microcella;Largo  PORTO DI CLASSE,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  DI PORTA TICINESE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PERUSSIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TRENNO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  QUARENGHI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  della REPUBBLICA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  VALLE ISORNO,;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  MOSCA,;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  BAGAROTTI,;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  PERTINI,;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Largo  GEMELLI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  MEDA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  XXIV MAGGIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  DUOMO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  UDINE,;<= 7
CommsCon Italia S.r.l.;Microcella;Ripa  DI PORTA TICINESE,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  SAN GOTTARDO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  MUSSI GIUSEPPE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TRIVULZIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CELESTINO IV,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CECHOV, 50;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Lampugnano /M. di Savoia,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  BALLA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Cilea, 50;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  Amedeo D'AOSTA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  TURCHIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  BRIANZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  DON CALABRIA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  CUFRA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  DONATELLI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  BACCELLI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Conservatorio,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Olivetani,;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  VARESINA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CADORE, 34;<= 7
CommsCon Italia S.r.l.;Microcella;Via  DEZZA GIUSEPPE,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  PREMUDA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  BIANCA MARIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PANTANO, 1;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Cesare Cantù,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Croce Rossa / Manzoni,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  SAN BABILA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Palestro ang. Marina,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  Principessa Clotilde,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  del LIBERTY,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TORINO, 14;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Padre Gerardo Beccaro,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Piazza Della Scienza,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  Como,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  Europa,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  DUOMO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  V. EMANUELE;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  VITTORIO EMANUELE II, 30;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Corso  MATTEOTTI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PIETRO VERRI;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  V. EMANUELE ;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  ALBRICCI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  BLIGNY,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  DI PORTA ROMANA AN;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  FRANCESCO VIGANO',;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  XXV Aprile ,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  San Paolo,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  SANGRO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Torino,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Marino ang. Via Ragazzi del 99,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  CARACCIOLO, 52;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  LORENTEGGIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  GIULIO CESARE,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  GARIBALDI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  COMO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazzale  CADORNA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via privata  LAMBRUSCHINI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via privata  GIAMPIETRINO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Largo  USUELLI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  DUOMO,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  SUZZANI, 221;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CENA, 8;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CARNIA, 32;<= 7
CommsCon Italia S.r.l.;Microcella;Via  BUONARROTI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  LODI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  SAN BABILA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  LEGIONI ROMANE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  BORSA, 18;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  LUIGI DI SAVOIA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Andrea DORIA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  DI PORTA ROMANA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  DI PORTA ROMANA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  GASPAROTTO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  TRIVULZIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  della SCALA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PIRELLI GIOVANNI BATTISTA;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  GIOIA Melchiorre,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Zurigo, 22;<= 7
CommsCon Italia S.r.l.                                                                                                              ; Microcella      ; Sito  Parcheggio Lampugnano;  <= 7
CommsCon Italia S.r.l.;Microcella;Corso  LODI,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  BUENOS AIRES,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  GARIBALDI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  GRAN SASSO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazzale  LOTTO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  UDINE,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  CORDUSIO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  MISSORI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  GARIBALDI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PAGANO MARIO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  MAROCHETTI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PRIMATICCIO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PACINI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  MISTRAL,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  LODI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  ROGOREDO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VENEZIA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  SONDRIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  MONTE TITANO, 6;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  UDINE,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Salerio / Orsenigo,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  WAGNER,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  ARBE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  SAN GIUSTO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Mascagni,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Pantano,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  VERDI,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PITTERI, 84;<= 7
CommsCon Italia S.r.l.;Microcella;Via  ADRIANO, 81;<= 7
CommsCon Italia S.r.l.;Microcella;Via  BORSA Mario,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  dell'OSPEDALE MAGGI;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VERCELLI,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Gaetano DE CASTILLIA, 11;<= 7
CommsCon Italia S.r.l.;Microcella;Località  TRE TORRI,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  LORENTEGGIO, 219;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Vigliani, 59;<= 7
CommsCon Italia S.r.l.;Microcella;Via  LEGNONE, 3;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PELLEGRINO ROSSI, 63;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  DUOMO (Lato Rinascente);> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Corso  LODI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  DUCA D'AOSTA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  CORVETTO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  DUOMO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazzale  LODI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  MISSORI,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  MANZONI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  MEDAGLIE D'ORO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  CASSINIS,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  della REPUBBLICA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CASSINIS,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Sito  STAZIONE METROPOLITANA;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  ZARA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CHIESE ang. Via Sesto San Giovanni;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  GIACOSA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  PALESTRO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  della REPUBBLICA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  GAE AULENTI, 6;<= 7
CommsCon Italia S.r.l.;Ponte;Via  FILZI FABIO, 22;<= 7
CommsCon Italia S.r.l.;Microcella;Via  FILZI, 22;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  dell'Ospedale Maggiore,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Filzi, 20;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  LORETO,;<= 7
CommsCon Italia S.r.l.;Ponte;Via  FRATELLI RIZZARDI, 75;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VITTORIO EMANUELE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  SANTA SOFIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  SAN BARNABA,;> 20 e <= 300
CommsCon Italia S.r.l.;Microcella;Via  MASCAGNI PIETRO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  FREGUGLIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  PORTA VITTORIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  MARTINENGO FRANCESCO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Cantu',;> 7 e <= 20
CommsCon Italia S.r.l.;Ponte;Piazza  Castello,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  AMENDOLA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  SAN BABILA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CATERINA DA FORLI',;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  BISCEGLIE,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  BUONARROTI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  CADORNA,;<= 7
CommsCon Italia S.r.l.;Microcella;Largo  CAIROLI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  CONCILIAZIONE,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  DE ANGELI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  GAMBARA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  CADORNA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  CONCILIAZIONE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PAGANO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  MERCANTI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  LIMA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PALESTRO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  BONOLA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Inganni,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  LIMA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazzale  LORETO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  LOTTO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  F. RIZZARDI VIA CILEA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PAGANO MARIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PALESTRO,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PRIMATICCIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazzale  OBERDAN,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  MARIO BORSA,;<= 7
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  CROCE,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  MONZA,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  WAGNER,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  XXII Marzo,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  CAIAZZO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  DUCA D'AOSTA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Viale  FAMAGOSTA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Don Sturzo,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  GIOIA Melchiorre,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  BOTTINI Enrico,;<= 7
CommsCon Italia S.r.l.;Microcella;Foro  BUONAPARTE,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  LORETO,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  PIOLA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  UDINE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  MONTE GRAPPA,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Padre Gerardo Beccaro,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  TREMELLONI, 4;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Salmoiraghi,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  SANTA MARIA RINASCENTE;<= 7
CommsCon Italia S.r.l.;Microcella;Via  MORESCHI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  SANTA MARIA NASCENTE,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  FILZI FABIO, 22;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  dell'OSPEDALE MAGGI;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  Carozzi,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PICCOLOMINI, 5;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PICCOLOMINI, 5;<= 7
CommsCon Italia S.r.l.;Microcella;Via  dei PICCOLOMINI, 5;> 20 e <= 300
e-via S.p.A.;Microcella;Corso  SEMPIONE, 27;> 7 e <= 20
Elettronica Industriale S.p.A. - Telecommunication Tecnology;Microcella;Via  SILVA, 36;> 20 e <= 300
Elettronica Industriale S.p.A. - Telecommunication Tecnology;Microcella;Via  SILVA, 36;> 20 e <= 300
Elettronica Industriale S.p.A. - Telecommunication Tecnology;Microcella;Via  SILVA, 36;> 20 e <= 300
Elettronica Industriale S.p.A. - Telecommunication Tecnology;Microcella;Via  SILVA, 36;> 20 e <= 300
Elettronica Industriale S.p.A. - Telecommunication Tecnology;Microcella;Via  SILVA, 36;> 20 e <= 300
ELITE S.r.l.;Microcella;Via  SAN GALDINO, 5;> 1000
ENAV S.p.A.;Microcella;Sito  AEROPORTO FORLANINI - MILANO;> 20 e <= 300
EUROPA TV S.p.A.;Microcella;Via  PIRELLI,;<= 7
EUROPA TV S.p.A.;Microcella;Via  SAN GALDINO, 5;> 300 e <= 1000
GENERAL BROADCASTING RADIO S.p.A.;Ponte;Via  TURATI, 29;<= 7
H3G S.p.A.;Ponte;Via  MARCO AURELIO, 26;<= 7
H3G S.p.A.;Ponte;Via  Bovio, 6;<= 7
H3G S.p.A.;Telefonia;Viale  AVIAZIONE, 65;<= 7
H3G S.p.A.;Telefonia;Via  MOLINETTO, 59;> 300 e <= 1000
H3G S.p.A.;Telefonia;Via  MONTE PIANA, 7;> 20 e <= 300
H3G S.p.A.;Microcella;Via  SOLFERINO,;<= 7
H3G S.p.A.;Microcella;Corso  SAN GOTTARDO, 5;<= 7
H3G S.p.A.;Microcella;Piazza  DE ANGELI, 3;<= 7
H3G S.p.A.;Microcella;Via  del GESU', 6;<= 7
H3G S.p.A.;Telefonia;Via  FOLLI, 17;> 20 e <= 300
H3G S.p.A.;Telefonia;Viale  SUZZANI, 119;> 20 e <= 300
H3G S.p.A.;Telefonia;Via  IPPODROMO, 141;> 20 e <= 300
H3G S.p.A.;Telefonia;Viale  MONZA, 139;> 20 e <= 300
H3G S.p.A.;Telefonia;Via  MOMIGLIANO, 2;> 300 e <= 1000
H3G S.p.A.;Telefonia;Via  STOPPANI, 33;> 20 e <= 300
H3G S.p.A.;Telefonia;Viale  MAJNO, 10;> 300 e <= 1000
H3G S.p.A.;Telefonia;Viale  CERTOSA, 108;> 20 e <= 300
H3G S.p.A.;Telefonia;Via  AIRAGHI, 49;> 20 e <= 300
ILIAD ITALIA S.p.A.;Telefonia;Via  delle Forze Armate, 364;> 300 e <= 1000
ILIAD ITALIA S.p.A.;Telefonia;Largo  AUGUSTO, 7;> 300 e <= 1000
ILIAD ITALIA S.p.A.;Telefonia;Piazzale  SUSA, 11;> 20 e <= 300
ILIAD ITALIA S.p.A.;Telefonia;Via  Sabatino Lopez, 9;> 300 e <= 1000
ILIAD ITALIA S.p.A.;Telefonia;Via  CADRONA, 14;> 300 e <= 1000
ILIAD ITALIA S.p.A.;Telefonia;Via  ORNATO, 74;> 300 e <= 1000
ILIAD ITALIA S.p.A.;Telefonia;Viale  Sarca, 396;> 300 e <= 1000
ILIAD ITALIA S.p.A.;Telefonia;Via  GOVONE, 44;> 300 e <= 1000
INTER MIRIFICA S.r.l.;Ponte;Via  Silva, 36;<= 7
INWIT - Infrastrutture Wireless italiane S.p.A.;Microcella;Piazza  TRE TORRI,;<= 7
LA 7 s.r.l.;Televisione;Piazza  REPUBBLICA, 32;> 1000
LA 9 S.p.A.;Televisione;Via  SAN GALDINO, 5;> 1000
LifeGate Radio S.p.A.;Radiofonia;Via  STAMIRA D'ANCONA, 24;> 1000
LifeGate Radio S.p.A.;Ponte;Galleria  del CORSO, 4;<= 7
LifeGate Radio S.p.A.;Ponte;Via  SAN GALDINO, 5;<= 7
Linkem S.p.A.;Telefonia;Piazza  LAGOSTA,;> 20 e <= 300
Linkem S.p.A.;Telefonia;Via  Cenisio, 83;> 20 e <= 300
Linkem S.p.A.;Telefonia;Via  BERGOGNONE, 53;> 20 e <= 300
Linkem S.p.A.;WiFi;Corso  SEMPIONE, 27;<= 7
Linkem S.p.A.;Telefonia;Via  PARAVIA,;> 20 e <= 300
Linkem S.p.A.;Telefonia;Via  CUNEO, 4;> 20 e <= 300
Linkem S.p.A.;Telefonia;Via  Lambruschini, 36;> 20 e <= 300
Linkem S.p.A.;Telefonia;Corso  DI PORTA NUOVA , 7;> 20 e <= 300
Linkem S.p.A.;Telefonia;Via  DE AMICIS, 19;> 20 e <= 300
MEDIATECH S.r.l.;Ponte;Via  CASATI, 45;<= 7
MEDIATECH S.r.l.;Radiofonia;Via  SAN GALDINO, 5;> 1000
Monradio S.r.l.;Radiofonia;Via  TURATI, 29;> 1000
